song_id,title,artist,mood,time_of_day,activity,youtube_link
1,"""There's Nothing Holdin' Me Back""",Shawn Mendes,Mysterious,night,exercising,https://www.youtube.com/watch?v=dT2owtxkU8k
2,"""Mrs. Officer""",Lil Wayne featuring Bobby Valentino and Kidd Kidd,Empowering,morning,date,https://www.youtube.com/watch?v=UmM8RPKCrak
3,"""Rich Baby Daddy""",Drake featuring Sexyy Red and SZA,Comforting,evening,cooking,https://www.youtube.com/watch?v=F7o0upORtCw
4,"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",Calm,afternoon,relaxing,https://www.youtube.com/watch?v=weeI1G46q0o
5,"""Everything I Wanted""",Billie Eilish,Melancholic,evening,relaxing,https://www.youtube.com/watch?v=EgBJmlPo8Xw
6,"""Mercy""",Brett Young,Calm,morning,commuting,https://www.youtube.com/watch?v=Thvm6dADOms
7,"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello,Romantic,afternoon,exercising,https://www.youtube.com/watch?v=ngORmvyvAaI
8,"""California Gurls""",Katy Perry featuring Snoop Dogg,Romantic,afternoon,journaling,https://www.youtube.com/watch?v=F57P9C4SAW4
9,"""Nasty Freestyle""",T-Wayne,Comforting,evening,cooking,https://www.youtube.com/watch?v=hGKK8eGQQEk
10,"""Turn Me On""",Kevin Lyttle featuring Spragga Benz,Nostalgic,evening,date,https://www.youtube.com/watch?v=4apHuWytLko
11,"""'03 Bonnie & Clyde""",Jay-Z featuring Beyoncé,Cathartic,night,reflecting,https://www.youtube.com/watch?v=hl5t3TyP8aY
12,"""Stuck Like Glue""",Sugarland,Nostalgic,morning,journaling,https://www.youtube.com/watch?v=5iDPw_qjhtM
13,"""Right Now (Na Na Na)""",Akon,Romantic,night,exercising,https://www.youtube.com/watch?v=vIaH35-MLsk
14,"""Lil Bit""",Nelly and Florida Georgia Line,Nostalgic,night,commuting,https://www.youtube.com/watch?v=CTYXd__nbvo
15,"""Hanging by a Moment""",Lifehouse,Empowering,night,date,https://www.youtube.com/watch?v=tPnK39ax_AM
16,"""Without Me""",Halsey,Excited,evening,journaling,https://www.youtube.com/watch?v=ZAfAud_M_mg
17,"""Give It to Me""",Timbaland featuring Nelly Furtado and Justin Timberlake,Empowering,afternoon,date,https://www.youtube.com/watch?v=RgoiSJ23cSc
18,"""What's My Name?""",Rihanna featuring Drake,Romantic,evening,exercising,https://www.youtube.com/watch?v=U0CGsw6h60k
19,"""Pushin P""",Gunna and Future featuring Young Thug,Nostalgic,evening,date,https://www.youtube.com/watch?v=-705T4FioZE
20,"""What Would You Do?""",City High,Mysterious,evening,reflecting,https://www.youtube.com/watch?v=LahcSFleKm8
21,"""You Should Be Sad""",Halsey,Mysterious,evening,relaxing,https://www.youtube.com/watch?v=8nBFqZppIF0
22,"""Family Affair""",Mary J. Blige,Joyful,morning,journaling,https://www.youtube.com/watch?v=znlFu_lemsU
23,"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,Excited,evening,exercising,https://www.youtube.com/watch?v=7F37r50VUTQ
24,"""Air Force Ones""","Nelly featuring Murphy Lee, Ali, and Kyjuan",Cathartic,afternoon,commuting,https://www.youtube.com/watch?v=BfzsMQGqrt0
25,"""Cleanin' Out My Closet""",Eminem,Calm,afternoon,reflecting,https://www.youtube.com/watch?v=RQ9_TKayu9s
26,"""Escape""",Enrique Iglesias,Melancholic,night,relaxing,https://www.youtube.com/watch?v=9mQJaXwGPlg
27,"""Into the Night""",Santana featuring Chad Kroeger,Comforting,evening,reflecting,https://www.youtube.com/watch?v=fQ9nQNx0KEs
28,"""U Already Know""",112 featuring Foxy Brown,Joyful,night,cooking,https://www.youtube.com/watch?v=Ax1NMY_ooxE
29,"""Pour Me a Drink""",Post Malone featuring Blake Shelton,Mysterious,afternoon,exercising,https://www.youtube.com/watch?v=RoeXmaSE7Lo
30,"""Say Yes""",Floetry,Romantic,evening,journaling,https://www.youtube.com/watch?v=PCCGIXME164
31,"""Bring It All to Me""",Blaque,Empowering,morning,commuting,https://www.youtube.com/watch?v=h4mjAOgHLvU
32,"""Fight Song""",Rachel Platten,Melancholic,afternoon,commuting,https://www.youtube.com/watch?v=xo1VInw-SKc
33,"""Easy on Me""",Adele,Nostalgic,night,journaling,https://www.youtube.com/watch?v=X-yIEMduRXk
34,"""Hit 'Em Up Style (Oops!)""",Blu Cantrell,Empowering,night,journaling,https://www.youtube.com/watch?v=LMOKlXfXn50
35,"""Love Nwantiti (Ah Ah Ah)""",CKay,Empowering,night,relaxing,https://www.youtube.com/watch?v=D-YDEyuDxWU
36,"""Can't Hold Us Down""",Christina Aguilera featuring Lil' Kim,Excited,night,exercising,https://www.youtube.com/watch?v=dg8QgUIKXHw
37,"""My List""",Toby Keith,Mysterious,evening,exercising,https://www.youtube.com/watch?v=-uDxF5q0V9s
38,"""Telepatía""",Kali Uchis,Cathartic,morning,commuting,https://www.youtube.com/watch?v=bn_p95HbHoQ
39,"""Happier""",Marshmello and Bastille,Joyful,afternoon,commuting,https://www.youtube.com/watch?v=m7Bc3pLyij0
40,"""BedRock""",Young Money featuring Lloyd,Nostalgic,afternoon,relaxing,https://www.youtube.com/watch?v=Ha80ZaecGkQ
41,"""Most Girls""",Pink,Empowering,morning,journaling,https://www.youtube.com/watch?v=UWJ_P-TdEJ0
42,"""Astronaut in the Ocean""",Masked Wolf,Mysterious,night,commuting,https://www.youtube.com/watch?v=MEg-oqI9qmw
