key,titles-artist-youtube_link
733,"""There's Nothing Holdin' Me Back""-Shawn Mendes-https://www.youtube.com/watch?v=dT2owtxkU8k;""Feels Like Tonight""-Daughtry-https://www.youtube.com/watch?v=2judm5t9Qdo;""Karma""-Alicia Keys-https://www.youtube.com/watch?v=EUMC_raxpSc;""Sorry""-Justin Bieber-https://www.youtube.com/watch?v=fRh_vgS2dFE"
302,"""Mrs. Officer""-Lil Wayne featuring Bobby Valentino and Kidd Kidd-https://www.youtube.com/watch?v=UmM8RPKCrak;""Down in the DM""-Yo Gotti featuring Nicki Minaj-https://www.youtube.com/watch?v=ZhmwLl0-yFE;""This Is America""-Childish Gambino-https://www.youtube.com/watch?v=VYOjWnS4cMY;""When I'm Gone""-3 Doors Down-https://www.youtube.com/watch?v=pDxgCWiSnkE"
221,"""Rich Baby Daddy""-Drake featuring Sexyy Red and SZA-https://www.youtube.com/watch?v=F7o0upORtCw;""Nasty Freestyle""-T-Wayne-https://www.youtube.com/watch?v=hGKK8eGQQEk;""Close""-Nick Jonas featuring Tove Lo-https://www.youtube.com/watch?v=XgJFqVvb2Ws;""Unwell""-Matchbox Twenty-https://www.youtube.com/watch?v=WziA88-n02k;""I Love You""-Faith Evans-https://www.youtube.com/watch?v=ybToZTdi8ak;""Some Cut""-Trillville featuring Cutty-https://www.youtube.com/watch?v=WZd2MEOvdQ4"
016,"""I'm the One""-DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne-https://www.youtube.com/watch?v=weeI1G46q0o;""Envy Me""-Calboy-https://www.youtube.com/watch?v=FhPvceQcfzE;""Like a Boy""-Ciara-https://www.youtube.com/watch?v=_HKH7Emy1SY"
626,"""Everything I Wanted""-Billie Eilish-https://www.youtube.com/watch?v=EgBJmlPo8Xw;""She Wolf""-Shakira-https://www.youtube.com/watch?v=booKP974B0k;""Thank God I Found You""-Mariah Carey featuring Joe and 98 Degrees-https://www.youtube.com/watch?v=7KVxjQUCyn0;""Wild as Her""-Corey Kent-https://www.youtube.com/watch?v=uUTpppM8xOQ"
000,"""Mercy""-Brett Young-https://www.youtube.com/watch?v=Thvm6dADOms;""Budapest""-George Ezra-https://www.youtube.com/watch?v=VHrLPs3_1Fs"
913,"""I Know What You Did Last Summer""-Shawn Mendes and Camila Cabello-https://www.youtube.com/watch?v=ngORmvyvAaI;""Send My Love (To Your New Lover)""-Adele-https://www.youtube.com/watch?v=fk4BbF7B29w;""Thnks fr th Mmrs""-Fall Out Boy-https://www.youtube.com/watch?v=onzL0EM1pKY;""Adventure of a Lifetime""-Coldplay-https://www.youtube.com/watch?v=QtXby3twMmI"
914,"""California Gurls""-Katy Perry featuring Snoop Dogg-https://www.youtube.com/watch?v=F57P9C4SAW4;""Everyday We Lit""-YFN Lucci featuring PnB Rock-https://www.youtube.com/watch?v=44Vk5KyQbiA;""Wildest Dreams""-Taylor Swift-https://www.youtube.com/watch?v=IdneKLhsWOQ;""Milkshake""-Kelis-https://www.youtube.com/watch?v=6AwXKJoKJz4"
822,"""Turn Me On""-Kevin Lyttle featuring Spragga Benz-https://www.youtube.com/watch?v=4apHuWytLko;""Pushin P""-Gunna and Future featuring Young Thug-https://www.youtube.com/watch?v=-705T4FioZE;""Today Was a Fairytale""-Taylor Swift-https://www.youtube.com/watch?v=xSWVPqnKcXQ"
135,"""'03 Bonnie & Clyde""-Jay-Z featuring Beyoncé-https://www.youtube.com/watch?v=hl5t3TyP8aY;""Obsessed""-Mariah Carey-https://www.youtube.com/watch?v=H1Yt0xJKDY8;""Wants and Needs""-Drake featuring Lil Baby-https://www.youtube.com/watch?v=cnqUrYjqGaU;""King of Anything""-Sara Bareilles-https://www.youtube.com/watch?v=eR7-AUmiNcA;""Why?""-Jadakiss featuring Anthony Hamilton-https://www.youtube.com/watch?v=0-cpL--0AQA;""We Belong Together""-Mariah Carey-https://www.youtube.com/watch?v=0habxsuXW4g"
